,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Veb Variation Gallery Images,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _oembed_8c261681156dd3fcdaa02aaebf2070c2,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _yoast_wpseo_primary_product_cat,Meta: _oembed_ef20c91921e19acf2025ff722bc7bd19,Meta: _oembed_c948432515e8209f341f6f3f0eec0a85,Meta: _oembed_659e52fd915519a6ad94cc3f5d7be309,Meta: _oembed_e4afe6ebd4e32bcc952990d370b292f2,Meta: _oembed_dd847979caddace2582a5dfde600dc08,Meta: _oembed_4896cf49bc44960756f47e30b9aca395,Meta: _oembed_78d70fbd6b8e3fbf0b7242ece89f3c20,Meta: _oembed_001b2bf7c9cd7c910df10a475eaefd93,Meta: _oembed_0314b5eb3363155f3591ca367ebf6f8e,Meta: _oembed_d470243ad363b624474357612e65c2e2,Meta: _oembed_39e30393e9059911a4168405446f1348,Meta: _oembed_e48584cdaa8f4189a8b32ecd5f152325,Meta: _oembed_d352ff61092bd2d5366f8dfd5215978f,Meta: _oembed_19b929db16c2bcc84422e5505dd85413,Meta: _oembed_616c5a94649856119edf58f59bd36118,Meta: _oembed_329a14302a6c6cab8847c4e4c5db97bd,Meta: _oembed_e31ab68cc9d0e99c13c146df92bdeee1,Meta: _oembed_b49c4b8158140215ca2c0ebfd91caaaf,Meta: _oembed_74b7ac7905b82edbab1c90a887fdf90d,Meta: _oembed_f3b415efb0f17be9d6fcd84a98f2d70f,Meta: _oembed_4bbbc8429470aa6ec6823296f9fc0523,Meta: _oembed_17ddca5c60624f7cc7f39290a34c6ea7,Meta: _oembed_3b18319b62148df8747d732d38403b00,Meta: _oembed_fc3e28022ed77edcb44a27ba1ed639e9,Meta: _oembed_960c00a4ebddbd80ab799ebc9b14094d,Meta: _oembed_a8c7691d71ba3986d3d0008d890c0d1f,Meta: _oembed_b0d2c43a5750c8915b8be2789120d37b,Meta: _oembed_32cfa368fd23bc92fc45aa1a885ae3ec,Meta: _oembed_049feab4a23e920a70fc18ca62f5a1dc,Meta: _oembed_57a92ba67dd25654874418001d7ad102,Meta: _oembed_7909db929352122bf5afc61032e3459c,Meta: _oembed_d9138a5c40891d90ee246e581c62174c,Meta: _oembed_2498d5e3a57060381e2f3e7478786a71,Meta: _oembed_f0f78748fd6d61e7206a790a6dbd11f3,Meta: _original_id,Meta: afpv_enable_featured_video,Meta: afpv_video_thumb,Meta: afpv_featured_video_type,Meta: afpv_yt_featured_video_id,Meta: afpv_fb_featured_video_id,Meta: afpv_dm_featured_video_id,Meta: afpv_vm_featured_video_id,Meta: afpv_mc_featured_video_id,Meta: afpv_cus_featured_video_id,Meta: ced_rnx_disable_refund,Meta: ced_rnx_disable_exchange,Meta: _wcsts_ppt_questions_number,Meta: afpv_enable_featured_video_product_page,Meta: afpv_enable_featured_image_as_first_img,Meta: disable_woothumbs
0,2243,variable,mens-navy-blue-2pcs-double-breasted-suit,Men's navy blue 2pcs double breasted suit.,1,0,visible,,"Color: Navy-Blue\n\nComposition :?Polly Viskon Wool Mix\n\nDetail:?Four?buttons on the front, Two buttons on the chest, 3 side pockets, dot seam, pointed collar suit, straight-leg trousers.\n\nCare : Dry clean only\n\n* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.\n\n<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />\n\n<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999.0,,0,0,,,,,0,,,,Custom suit,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 50",1.0,0.0,90.0,[],"[""""]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2259,variable,mens-sacramento-green-double-breasted-2pcs-suit,Men's Sacramento green double breasted 2pcs suit.,1,0,visible,&nbsp;\n\n&nbsp;,"Color:?Sacramento-Green\n\nComposition :?Polly Viskon Wool Mix\n\nDetail:?Four?buttons on the front, Two buttons on the chest, 3 side pockets, dot seam, pointed collar suit, straight-leg trousers.\n\nCare : Dry clean only\n\n* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.\n\n<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />\n\n<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;",,,taxable,,1,999.0,,0,0,,,,,0,,,,Custom suit,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 50",1.0,0.0,90.0,[],"[""""]",1.0,{{unknown}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2262,variable,italian-blue-wool-linen-suit,ITALIAN BLUE WOOL LINEN SUIT,1,0,visible,,"Look features a 2 button jacket with notch lapels, real horn royal buttons, single vent, two cuff buttons and two welted back pockets on trousers.\n<ul>\n 	<li>Fabric: 80% Wool, 15% Linen and 5% Silk, Woven in Italy</li>\n 	<li>Color Family: Blue/Brown</li>\n 	<li>Weight: 240gr</li>\n</ul>\nYou can change the look during customization if required.\n\nLining: Viscose; Dry Clean.\n\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""750"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />\n\n&nbsp;",,,taxable,,1,999.0,,0,0,,,,,0,,,,Linen suit,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8ba5b035612f15072e959bc51a70c2da.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8bfd07c834318fd6a91eca38a9365041.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/37248cea94552f65022dae28f83895ca.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/843c6775e4794f6e5f8d1d4e762a411b.jpg",,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60",1.0,0.0,90.0,[],"[""""]",1.0,{{unknown}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2263,variation,italian-blue-wool-linen-suit-,ITALIAN BLUE WOOL LINEN SUIT,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,34.69,60.83,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8ba5b035612f15072e959bc51a70c2da.jpg,,,italian-blue-wool-linen-suit,,,,,,1,,,Suit Size,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2268,variable,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux,Men's white tux with black pearls on peak lapel 2pcs tux,1,0,visible,"This week's special event: Randomly selected 50 lucky customers to get double the order product every day.\n\nWe will send you an email, please remember to check, thanks for your support\n\n96.9% Of Customers Buy 2 Or More","<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""0-0"">The white color ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""1-0"">?</span><span class=""transSent"" data-group=""2-0"">Ingredients: 100% wool ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""3-0"">?</span><span class=""transSent"" data-group=""4-0"">Details: front 1 button, 2 side pockets, cape lapel, straight pants ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""6-0"">?Fit: Classic cut ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""7-0"">?</span><span class=""transSent"" data-group=""8-0"">Care: dry clean only ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""9-0"">?</span><span class=""transSent"" data-group=""10-0"">Ghosting or 5% chromatic aberration of glare may occur in light and visual references in studio environments. ?</span></p>\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""750"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999.0,,0,0,,,,,0,,,,Evening dress,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/56da286ce03db570e6a8a74c1783786b.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/090c7bf26725f7f29204325ff6966458.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/6902bb2f7205d37b337782ef901abeff.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2f05258b5563c9e09277a734a338350d.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/d820198d220963205895be6fdb4ddf3e.jpg",,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60",1.0,0.0,90.0,[],"[""""]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2269,variation,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux-,Men's white tux with black pearls on peak lapel 2pcs tux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,35.84,54.24,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/56da286ce03db570e6a8a74c1783786b.jpg,,,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux,,,,,,1,,,Suit Size,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2275,variation,mens-navy-blue-2pcs-double-breasted-suit-36,Men's navy blue 2pcs double breasted suit. - 36,1,0,visible,,,,,taxable,parent,1,999.0,,0,0,,,,,0,,32.38,54.35,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,1,,,Suit Size,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2276,variation,mens-navy-blue-2pcs-double-breasted-suit-38,Men's navy blue 2pcs double breasted suit. - 38,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,33.36,59.71,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,2,,,Suit Size,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2277,variation,mens-navy-blue-2pcs-double-breasted-suit-40,Men's navy blue 2pcs double breasted suit. - 40,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,35.55,55.32,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,3,,,Suit Size,40,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2278,variation,mens-navy-blue-2pcs-double-breasted-suit-42,Men's navy blue 2pcs double breasted suit. - 42,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,33.89,62.16,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,4,,,Suit Size,42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
